ID;TOKEN;TIPO;LINHA;COLUNA
1;30;INTEIRO;1;1
2;-30;INTEIRO;1;3
3;3.5;FRACIONARIO;1;6
4;abc;NOMEVARIAVEL;1;9
5;_oi;NOMEVARIAVEL;1;12
6;idade;NOMEVARIAVEL;2;1
7;nome123;NOMEVARIAVEL;2;6
8;12.75;FRACIONARIO;2;13
9;-8;INTEIRO;2;18
10;x;NOMEVARIAVEL;2;20
11;100;INTEIRO;3;1
12;y_var;NOMEVARIAVEL;3;4
13;0.1;FRACIONARIO;3;9
14;@erro;NAO_RECONHECIDO;3;12
15;#;NAO_RECONHECIDO;3;17
16;42;INTEIRO;5;1
17;-7.25;FRACIONARIO;5;3
18;minhaVariavel;NOMEVARIAVEL;5;8
19;-0.5;FRACIONARIO;8;1
20;99;INTEIRO;8;5
21;Var_2;NOMEVARIAVEL;8;7
22;3.14.15;NAO_RECONHECIDO;8;12
23;tab_inicio;NOMEVARIAVEL;9;1
24;-;NAO_RECONHECIDO;9;13
25;.;NAO_RECONHECIDO;9;14
26;+;NAO_RECONHECIDO;9;15
