ID;Token;Tipo;Linha;Coluna
1;x;NOMEVARIAVEL;1;1
2;=;ATRIBUIÇÃO;1;3
3;10;INTEIRO;1;5
4;";";PONTO_VIRGULA;1;8
5;y;NOMEVARIAVEL;2;1
6;=;ATRIBUIÇÃO;2;3
7;20.5;FRACIONARIO;2;5
8;";";PONTO_VIRGULA;2;10
9;a;NOMEVARIAVEL;3;1
10;>=;SINAL_COMPARAÇÃO;3;3
11;b;NOMEVARIAVEL;3;6
12;,;VÍRGULA;3;8
13;c;NOMEVARIAVEL;3;10
14;<=;SINAL_COMPARAÇÃO;3;12
15;d;NOMEVARIAVEL;3;15
16;";";PONTO_VIRGULA;3;17
17;resultado;NOMEVARIAVEL;4;1
18;==;SINAL_COMPARAÇÃO;4;11
19;100;INTEIRO;4;14
20;!=;SINAL_COMPARAÇÃO;4;18
21;0;INTEIRO;4;21
22;";";PONTO_VIRGULA;4;23
23;teste;NOMEVARIAVEL;5;1
24;>;SINAL_COMPARAÇÃO;5;7
25;1;INTEIRO;5;9
26;<;SINAL_COMPARAÇÃO;5;11
27;2;INTEIRO;5;13
28;,;VÍRGULA;5;15
29;fim;NOMEVARIAVEL;5;17
30;";";PONTO_VIRGULA;5;21
