ID;Token;Tipo;Linha;Coluna
1;int;PR:INT;1;1
2;numero;NOMEVARIAVEL;1;5
3;=;OP_ATRIB;1;12
4;10;NUMERO;1;14
5;";";PV;1;16
6;int;PR:INT;2;1
7;numero1;NOMEVARIAVEL;2;5
8;,;VG;2;12
9;numero2;NOMEVARIAVEL;2;14
10;=;OP_ATRIB;2;22
11;20;NUMERO;2;24
12;,;VG;2;26
13;numero3;NOMEVARIAVEL;2;28
14;";";PV;2;35
15;float;PR:FLOAT;3;1
16;media;NOMEVARIAVEL;3;7
17;=;OP_ATRIB;3;13
18;7.5;NUMERO;3;15
19;";";PV;3;18
20;double;PR:DOUBLE;4;1
21;taxa;NOMEVARIAVEL;4;8
22;=;OP_ATRIB;4;13
23;-2.25;NUMERO;4;15
24;";";PV;4;20
25;char;PR:CHAR;5;1
26;codigo;NOMEVARIAVEL;5;6
27;=;OP_ATRIB;5;13
28;65;NUMERO;5;15
29;";";PV;5;17
30;boolean;PR:BOOLEAN;6;1
31;ativo;NOMEVARIAVEL;6;9
32;=;OP_ATRIB;6;15
33;true;BOOLEANO;6;17
34;";";PV;6;21
35;void;PR:VOID;7;1
36;referencia;NOMEVARIAVEL;7;6
37;";";PV;7;16
