ID;token;tipo;linha;coluna
1;int;PR:INT;1;1
2;numero;NOMEVARIAVEL;1;5
3;";";PONTO_VIRGULA;1;11
4;int;PR:INT;2;1
5;numero;NOMEVARIAVEL;2;5
6;=;ATRIBUICAO;2;12
7;10;INTEIRO;2;14
8;";";PONTO_VIRGULA;2;16
9;int;PR:INT;3;1
10;a;NOMEVARIAVEL;3;5
11;=;ATRIBUICAO;3;7
12;1;INTEIRO;3;9
13;,;VIRGULA;3;10
14;b;NOMEVARIAVEL;3;12
15;=;ATRIBUICAO;3;14
16;2;INTEIRO;3;16
17;,;VIRGULA;3;17
18;c;NOMEVARIAVEL;3;19
19;";";PONTO_VIRGULA;3;20
20;float;PR:FLOAT;4;1
21;media;NOMEVARIAVEL;4;7
22;=;ATRIBUICAO;4;13
23;7.5;FRACIONARIO;4;15
24;";";PONTO_VIRGULA;4;18
25;boolean;PR:BOOLEAN;5;1
26;ativo;NOMEVARIAVEL;5;9
27;=;ATRIBUICAO;5;15
28;true;PR:TRUE;5;17
29;";";PONTO_VIRGULA;5;21
30;char;PR:CHAR;6;1
31;letra;NOMEVARIAVEL;6;6
32;=;ATRIBUICAO;6;12
33;'a';LITERAL_CARACTERE;6;14
34;";";PONTO_VIRGULA;6;17
35;char;PR:CHAR;7;1
36;vazio;NOMEVARIAVEL;7;6
37;=;ATRIBUICAO;7;12
38;'';LITERAL_CARACTERE;7;14
39;";";PONTO_VIRGULA;7;16
40;char;PR:CHAR;8;1
41;mensagem;NOMEVARIAVEL;8;6
42;=;ATRIBUICAO;8;15
43;"""compiladores""";LITERAL_TEXTO;8;17
44;";";PONTO_VIRGULA;8;31
45;char;PR:CHAR;9;1
46;texto_vazio;NOMEVARIAVEL;9;6
47;=;ATRIBUICAO;9;18
48;"""""";LITERAL_TEXTO;9;20
49;";";PONTO_VIRGULA;9;22
50;int;PR:INT;10;1
51;nome;NOMEVARIAVEL;10;5
52;,;VIRGULA;10;9
53;idade;NOMEVARIAVEL;10;11
54;=;ATRIBUICAO;10;16
55;23;INTEIRO;10;17
56;,;VIRGULA;10;19
57;filhos;NOMEVARIAVEL;10;21
58;=;ATRIBUICAO;10;27
59;3;INTEIRO;10;28
60;";";PONTO_VIRGULA;10;29
61;int;PR:INT;11;1
62;erro_atribuicao;NOMEVARIAVEL;11;5
63;=;ATRIBUICAO;11;21
64;";";PONTO_VIRGULA;11;23
65;float;PR:FLOAT;12;1
66;=;ATRIBUICAO;12;7
67;10;INTEIRO;12;9
68;";";PONTO_VIRGULA;12;11
69;double;PR:DOUBLE;13;1
70;sem_ponto_virgula;NOMEVARIAVEL;13;8
