ID;token;tipo;linha;coluna
1;int;PR:INT;1;1
2;numero;NOMEVARIAVEL;1;5
3;=;ATRIBUICAO;1;12
4;10;INTEIRO;1;14
5;";";PONTO_VIRGULA;1;16
6;int;PR:INT;2;1
7;numero1;NOMEVARIAVEL;2;5
8;,;VIRGULA;2;12
9;numero2;NOMEVARIAVEL;2;14
10;=;ATRIBUICAO;2;22
11;20;INTEIRO;2;24
12;,;VIRGULA;2;26
13;numero3;NOMEVARIAVEL;2;28
14;";";PONTO_VIRGULA;2;35
15;float;PR:FLOAT;3;1
16;media;NOMEVARIAVEL;3;7
17;=;ATRIBUICAO;3;13
18;7.5;FRACIONARIO;3;15
19;";";PONTO_VIRGULA;3;18
20;double;PR:DOUBLE;4;1
21;taxa;NOMEVARIAVEL;4;8
22;=;ATRIBUICAO;4;13
23;-2.25;FRACIONARIO;4;15
24;";";PONTO_VIRGULA;4;20
25;char;PR:CHAR;5;1
26;codigo;NOMEVARIAVEL;5;6
27;=;ATRIBUICAO;5;13
28;65;INTEIRO;5;15
29;";";PONTO_VIRGULA;5;17
30;boolean;PR:BOOLEAN;6;1
31;ativo;NOMEVARIAVEL;6;9
32;=;ATRIBUICAO;6;15
33;true;PR:TRUE;6;17
34;";";PONTO_VIRGULA;6;21
35;void;PR:VOID;7;1
36;referencia;NOMEVARIAVEL;7;6
37;";";PONTO_VIRGULA;7;16
